Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
21,2024-01-28,0,purdue,rutgers,REG (Conf),1,68,60,0.489,0.263,0.654,0.544,0.76,6,25,31,12,8,6,14,11,0.375,0.25,0.417,0.406,0.615,12,18,30,12,4,1,10,16
22,2024-01-31,1,purdue,northwestern,REG (Conf),1,105,96,0.579,0.476,0.639,0.667,0.63,12,21,33,23,6,2,10,15,0.576,0.519,0.615,0.682,0.75,3,19,22,23,6,2,8,30
23,2024-02-04,0,purdue,wisconsin,REG (Conf),1,75,69,0.474,0.273,0.522,0.5,0.783,11,27,38,12,4,3,11,16,0.415,0.158,0.522,0.438,0.857,9,18,27,15,6,4,5,21
24,2024-02-10,1,purdue,indiana,REG (Conf),1,79,59,0.424,0.381,0.447,0.492,0.636,14,29,43,12,10,3,8,13,0.418,0.25,0.487,0.455,0.6,4,23,27,15,5,2,11,20
25,2024-02-15,1,purdue,minnesota,REG (Conf),1,84,76,0.475,0.474,0.475,0.551,0.594,15,27,42,21,5,1,9,13,0.441,0.48,0.412,0.542,0.75,7,18,25,19,5,3,5,20
26,2024-02-18,0,purdue,ohio-state,REG (Conf),0,69,73,0.434,0.333,0.455,0.462,1.0,14,22,36,13,3,5,14,14,0.483,0.333,0.568,0.543,0.909,7,15,22,13,9,3,6,20
27,2024-02-22,1,purdue,rutgers,REG (Conf),1,96,68,0.589,0.522,0.636,0.696,0.9,10,24,34,22,8,4,11,12,0.426,0.385,0.439,0.472,0.85,7,15,22,11,8,2,11,16
28,2024-02-25,0,purdue,michigan,REG (Conf),1,84,76,0.471,0.292,0.568,0.522,0.684,17,23,40,18,7,0,7,15,0.483,0.429,0.513,0.558,0.692,8,16,24,12,5,0,10,22
29,2024-03-02,1,purdue,michigan-state,REG (Conf),1,80,74,0.51,0.5,0.517,0.612,0.667,7,24,31,15,4,4,7,17,0.391,0.429,0.372,0.461,0.882,11,21,32,11,6,3,7,25
30,2024-03-05,0,purdue,illinois,REG (Conf),1,77,71,0.483,0.563,0.455,0.558,0.714,10,19,29,20,5,2,8,17,0.455,0.25,0.538,0.491,0.81,10,17,27,9,7,1,12,15
31,2024-03-10,1,purdue,wisconsin,REG (Conf),1,78,70,0.491,0.5,0.486,0.575,0.81,10,25,35,21,5,3,13,17,0.435,0.208,0.579,0.476,0.786,7,15,22,10,11,0,8,19
32,2024-03-15,2,purdue,michigan-state,CTOURN,1,67,62,0.415,0.357,0.436,0.462,0.667,7,23,30,19,7,3,11,17,0.393,0.222,0.465,0.426,0.833,13,22,35,15,4,8,13,29
33,2024-03-16,2,purdue,wisconsin,CTOURN,0,75,76,0.451,0.313,0.514,0.5,0.75,9,30,39,18,3,5,15,17,0.432,0.219,0.595,0.48,0.556,9,18,27,18,8,0,5,28
34,2024-03-22,2,purdue,grambling-state,ROUND-64,1,78,50,0.475,0.375,0.543,0.551,0.591,17,29,46,23,4,5,10,6,0.364,0.25,0.395,0.391,0.7,3,17,20,11,8,6,5,19
35,2024-03-24,2,purdue,utah-state,ROUND-32,1,106,67,0.559,0.478,0.6,0.64,0.826,10,35,45,29,5,5,9,10,0.359,0.333,0.378,0.43,0.75,5,17,22,9,5,4,8,20
36,2024-03-29,2,purdue,gonzaga,ROUND-16,1,80,68,0.571,0.45,0.639,0.652,0.7,8,21,29,24,3,0,8,11,0.492,0.316,0.575,0.542,0.571,9,15,24,14,5,0,6,15
37,2024-03-31,2,purdue,tennessee,ROUND-8,1,72,66,0.453,0.2,0.553,0.481,0.636,8,32,40,16,5,2,10,12,0.387,0.423,0.361,0.476,0.636,6,17,23,17,8,4,6,25
38,2024-04-06,2,purdue,nc-state,NATIONAL-SEMI,1,63,50,0.4,0.4,0.4,0.491,0.9,10,28,38,13,5,2,14,8,0.368,0.263,0.421,0.412,0.75,6,22,28,10,8,3,11,13
39,2024-04-08,2,purdue,connecticut,NATIONAL-FINAL,0,60,75,0.444,0.143,0.489,0.454,0.733,8,19,27,8,3,3,9,15,0.484,0.273,0.6,0.532,0.818,13,19,32,18,3,4,6,18
1,2023-11-06,1,michigan-state,james-madison,REG (Non-Conf),0,76,79,0.361,0.05,0.481,0.368,0.622,14,29,43,13,8,5,11,21,0.368,0.276,0.436,0.426,0.75,10,35,45,14,5,4,15,32
2,2023-11-09,1,michigan-state,southern-indiana,REG (Non-Conf),1,74,51,0.481,0.091,0.585,0.49,0.821,6,28,34,21,8,4,11,14,0.317,0.296,0.333,0.383,0.455,11,20,31,11,7,0,15,21
